     1→     1→# Worklog — SIMADJI: Sistem Informasi Manajemen TPQ Darul Jinan
     2→     2→
     3→     3→Project: Fullstack web adaptation of the uploaded blueprint PDF ("Blueprint Sistem Digital Terpadu untuk TPQ").
     4→     4→Original blueprint targeted Expo+Firebase mobile; we adapt to Next.js 16 + Prisma/SQLite + shadcn/ui.
     5→     5→Constraint: user-visible app lives at a single route `/` (SPA with view switching). APIs live under `/api/*`.
     6→     6→
     7→     7→---
     8→     8→Task ID: 1
     9→     9→Agent: main (Z.ai Code)
    10→    10→Task: Project bootstrap — schema, seed, APIs, UI integration, QA.
    11→    11→
    12→    12→Work Log:
    13→    13→- Read uploaded blueprint PDF; extracted feature set (see below).
    14→    14→- Created worklog.md.
    15→    15→
    16→    16→Stage Summary:
    17→    17→- Feature set from blueprint to implement:
    18→    18→  1. PUBLIC PORTAL: Tentang Kami (visi/misi/sejarah), Struktur Organisasi, Kurikulum (Kemenag aligned), Kegiatan/Berita (blog mini), Biodata Guru (professional portfolio, Kemenag-style data), PPDB online registration with document info + status tracking.
    19→    19→  2. ADMIN DASHBOARD: user management (ADMIN/GURU/ORANG_TUA), santri management, class & session management, attendance (QR-code concept simulated via session code check-in), hafalan progress recording, teaching materials module, billing & payments, announcements, WhatsApp notification log.
    20→    20→  3. PARENT (WALI) PORTAL: child attendance history, hafalan progress, bills + simulated payment gateway (Midtrans-style: create pending tx -> pay -> webhook -> success + WhatsApp notification), announcements.
    21→    21→- Tech mapping: Expo→Next.js 16 SPA, Firebase Auth→demo email/password auth API, Firestore→Prisma/SQLite, Firebase Storage→mock asset URLs, WhatsApp BSP→Notification log simulation, Midtrans webhook→simulated pay endpoint.
    22→    22→- Design: emerald green (Islamic) + amber gold accents, Indonesian language UI, sticky footer, responsive, shadcn/ui components.
    23→    23→- Single route `/`: role switcher (Portal Publik | Wali Santri | Guru | Admin) with demo login.
    24→    24→
    25→    25→## API CONTRACT (implemented & verified via curl)
    26→    26→Shared types: `src/lib/types.ts` — fetch helpers: `src/lib/api-client.ts` (apiGet/apiSend/formatRupiah/formatDate/formatShortDate).
    27→    27→- POST /api/auth/login {email,password} -> {user: AuthUser}
    28→    28→- GET /api/stats -> DashboardStats (students, teachers, classes, registrationsPending, hafalanCount, materialCount, revenue, outstanding, pendingCount, successCount, attendanceToday{HADIR,IZIN,SAKIT,ALPA}, attendanceRate, activeSessions[{code,className,topic,date}], attendanceTrend[{date,hadir,total,rate}], recentRegistrations, recentNotifications, recentPayments, recentHafalan)
    29→    29→- GET/POST/PUT/DELETE /api/users (DELETE ?id=)
    30→    30→- GET/POST/PUT/DELETE /api/teachers (JSON-string fields: formalEducation, nonFormalEducation, certifications; optional account via {email,password})
    31→    31→- GET/POST/PUT/DELETE /api/classes (GET returns studentCount)
    32→    32→- GET/POST/PUT/DELETE /api/students (?parentId= ?classId=; auto-NIS if missing)
    33→    33→- GET/POST/PUT /api/registrations (POST public PPDB form -> regNumber + WA notif; PUT {id,status,reviewNote,classId?} -> DITERIMA auto-creates santri+parent account)
    34→    34→- GET/POST/PUT /api/sessions (POST {classId,topic} generates code + closes old active; ?active=1)
    35→    35→- GET/POST /api/attendance (POST {sessionId, records:[{studentId,status,note}]} bulk upsert + WA notif to parents; GET ?sessionId= ?classId= ?studentId=)
    36→    36→- POST /api/attendance/checkin {code, studentId} -> QR-simulated check-in + WA notif
    37→    37→- GET/POST/DELETE /api/hafalan (POST triggers WA notif with grade)
    38→    38→- GET/POST/DELETE /api/materials
    39→    39→- GET/POST/PUT /api/payments (POST creates invoice + WA notif; PUT {id,status,method} = simulated gateway webhook -> WA confirmation)
    40→    40→- GET/POST/PUT/DELETE /api/posts (?published=1)
    41→    41→- GET/POST/DELETE /api/announcements (POST {priority:'PENTING',broadcast:true} broadcasts WA to all parents)
    42→    42→- GET/POST /api/notifications (?userId=) ; PUT /api/notifications/read {userId}
    43→    43→- GET /api/portal/parent?userId= -> ParentPortalData (students w/ attendanceSummary, attendances, hafalans, payments, billing; notifications; announcements)
    44→    44→
    45→    45→Demo accounts (seeded): admin@daruljinan.sch.id/admin123 · ustadzah.fatimah@daruljinan.sch.id/guru123 · budi.santoso@gmail.com/ortu123
    46→    46→
    47→    47→## Stage 1 complete: backend fully working. Stage 2: parallel UI agents (5-a public, 5-b admin, 5-c parent+login).
    48→    48→
    49→    49→---
    50→    50→Task ID: 5-c
    51→    51→Agent: parent-portal (frontend-styling-expert)
    52→    52→Task: Login dialog + parent portal UI
    53→    53→
    54→    54→Work Log:
    55→    55→- Read worklog.md API contract, types.ts, api-client.ts; verified live route shapes (portal/parent, sessions, attendance/checkin, payments PUT, notifications/read, auth/login) against component code.
    56→    56→- Skimmed ui primitives (dialog, tabs, dropdown-menu, card, progress, table, radio-group, badge, alert, button, input, label, skeleton, separator) and hooks/use-toast; confirmed lucide-react 0.525 icons (Mosque unavailable -> Landmark/MoonStar used).
    57→    57→- Created src/components/auth/login-dialog.tsx: controlled dialog, emerald gradient brand header (Landmark + custom DialogClose), email/password with show/hide Eye toggle, Loader2 submit, destructive Alert on failure (401 "Email atau password salah"), 3 demo quick-fill chips (Admin/Guru/Wali, Wali featured in emerald with amber WALI tag), note "Data demo — password default per peran". POST /api/auth/login -> onSuccess(user).
    58→    58→- Created src/components/parent/child-panel.tsx: exports ChildPanel + ParentStudent type. Per-child grid (grid-cols-1 lg:grid-cols-2, rounded-2xl white cards): (a) summary card w/ initials avatar, NIS/class badges, jadwal, ustadz, HADIR emerald/IZIN amber/SAKIT orange/ALPA red chips + Progress hadir/total; (b) attendance history max-h-72 scroll w/ formatShortDate + status badges; (c) hafalan list w/ grade circle (>=85 emerald, >=70 amber, <70 red), TAHFIDZ/TAHSHIN teal/MURAJAAH amber badges, italic teacherNote, avg grade + count header; (d) Tagihan card: amber outstanding strip, table (invoiceNo/title/amount/status/paidAt), PENDING -> "Bayar", FAILED -> "Coba Bayar Lagi"; PaymentDialog: invoice summary, RadioGroup QRIS(QrCode)/GoPay(Smartphone)/VA_BCA(Landmark), "Bayar Sekarang" -> 1.8s processing state ("Menghubungi gateway pembayaran...", buttons/dialog-close disabled) -> PUT /api/payments {id,status:'SUCCESS',method} -> success view (CircleCheck + "WhatsApp konfirmasi terkirim ke wali") -> onPaid refresh; timer cleanup on unmount, processing blocks dismiss; (e) QR check-in mini-card: kode input + POST /api/attendance/checkin {code, studentId} w/ toast result, hint chips of active codes.
    59→    59→- Created src/components/parent/parent-portal.tsx: exports ParentPortal({user,onLogout}). Sticky white/blur header (mini brand, refresh, bell DropdownMenu w/ unread amber badge + list + "Tandai semua dibaca" -> PUT /api/notifications/read, user avatar chip, logout), emerald hero "Assalamu'alaikum, {parent.name}" + first-2 announcements (PENTING on amber cards), child Tabs (one per santri, amber dot if pending tagihan), "Kotak Notifikasi WhatsApp" inbox card (*bold* segments rendered via split('*') -> <strong>, relative time, unread amber highlight, mark-all-read). GET /api/portal/parent?userId= with initial Skeleton screen, silent refresh, destructive error Alert + "Coba Lagi"; guarded empty-students state "Belum ada santri terdaftar pada akun ini".
    60→    60→- Decision: portal API students carry className but not classId, so active check-in code hints come from GET /api/sessions?active=1 fetched once in ParentPortal and filtered per child by className match (non-blocking, fails silently to []).
